x,y,actual_cluster
0.108463198,0.264713764,0
5.549467118,4.443617793,2
0.046562056,0.211730328,0
5.226931662,6.036515555,2
5.681127248,6.012235411,2
1.07294545,1.028551139,0
0.1241983,-0.281246655,0
5.554907745,6.473503306,2
3.8251457,-0.125947385,1
-1.194389133,1.365542777,0
6.831620855,6.221859828,2
2.364891145,0.036361777,1
3.47060633,0.285223285,1
5.931083233,5.5355652,2
7.514265164,6.935569565,2
0.1008305,1.017991455,0
5.952230876,7.199339905,2
3.429855559,0.64554467,1
6.403613572,5.854190871,2
2.513802498,-0.104744178,1
2.461058748,0.377474434,1
-0.357563596,-0.826442529,0
3.145792485,0.683647326,1
3.281639149,-0.479367064,1
3.249456478,0.494601218,1
0.605105339,-0.519515514,0
2.717776137,0.855711549,1
1.307290593,-0.684094516,0
2.184395111,0.630578541,1
4.318205488,-0.943431343,1
0.861203477,0.841665894,0
1.588828237,-1.018055972,0
2.178813616,1.36053483,1
6.437662016,4.878559641,2
6.540253386,6.576452908,2
5.299849257,4.918660232,2
5.095000163,6.186935609,2
-0.569202397,-1.208397822,0
5.276030011,6.477116163,2
7.668201342,6.661135641,2
-1.787092871,0.457533017,0
6.788645145,5.244047944,2
5.078864813,5.676890777,2
6.644601177,6.223109357,2
3.208766722,0.928470128,1
0.685116589,1.568625239,0
4.041776536,1.327122423,1
0.665061892,-0.105950046,0
3.007350015,1.250109346,1
6.277204699,5.234856944,2
-0.243538505,0.109444278,0
3.797580479,-0.864378074,1
-0.271128772,-0.211611925,0
1.234836642,0.280110046,0
0.219147391,-0.597867018,0
5.972502027,5.182334552,2
3.325963708,-1.07537058,1
5.437613235,5.517315156,2
5.142195137,6.591054083,2
6.599781428,5.544282085,2
2.695392514,1.29448461,1
4.307291272,0.634231261,1
2.710466713,-0.523218368,1
2.110660501,0.678577696,1
-1.141138843,0.323947579,0
-0.444025466,-0.253918816,0
-0.01972756,0.299832309,0
5.478671625,5.421493023,2
2.81239764,0.561719477,1
-0.733987076,-0.994012556,0
-0.626826593,0.270831749,0
4.346059419,1.036360354,1
-0.470722313,-0.251687213,0
6.366293662,5.879917568,2
-0.072253196,0.287418951,0
-1.129728493,-0.148918196,0
-0.876956752,0.544243249,0
2.39714202,1.337045467,1
-0.621450023,-1.386557528,0
3.263497872,-0.769580553,1
2.527967138,0.022281391,1
6.116671447,6.444522006,2
6.664594565,6.061285869,2
0.532726408,0.085172512,0
5.752204262,5.037534095,2
5.196771943,5.693525969,2
-0.356756527,-0.306652011,0
5.651377285,7.350672438,2
0.310704263,0.233572029,0
5.482305903,7.080110217,2
1.045855351,-0.143610785,0
2.781913228,0.03931574,1
2.390441996,-0.405194765,1
4.956119685,6.307574191,2
0.032030962,-0.131028695,0
2.250473165,0.738116209,1
5.361024442,6.781911402,2
3.088838465,0.281392554,1
3.663076377,-0.108507065,1
3.510363394,0.090288038,1
